sample number,sample code,strain,substrate,wet weight,dry weight,strain abbr,substrate abbr,,strain substrate
35,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.9,3.1,G. lucidum,Wood Pellet + CaSO4 + Flax, | ,G. lucidum | Wood Pellet + CaSO4 + Flax
36,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.8,3.1,G. lucidum,Wood Pellet + CaSO4 + Flax, | ,G. lucidum | Wood Pellet + CaSO4 + Flax
37,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.4,2.9,G. lucidum,Wood Pellet + CaSO4 + Flax, | ,G. lucidum | Wood Pellet + CaSO4 + Flax
38,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,7.3,3.3,G. lucidum,Wood Pellet + CaSO4 + Flax, | ,G. lucidum | Wood Pellet + CaSO4 + Flax
39,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,4.5,2.1,G. lucidum,Wood Pellet + CaSO4 + Flax, | ,G. lucidum | Wood Pellet + CaSO4 + Flax
40,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,3.3,1.5,G. lucidum,Wood Pellet + CaSO4 + Flax, | ,G. lucidum | Wood Pellet + CaSO4 + Flax
1,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
2,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
3,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
4,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,6.9,3.3,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
5,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.6,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
