sample number,sample code,strain,substrate,wet weight,dry weight,strain substrate
26,G,Ganoderma spp.,kenaf,5.91,1.02,"Ganoderma spp., kenaf"
27,G,Ganoderma spp.,kenaf,3.48,0.91,"Ganoderma spp., kenaf"
28,G,Ganoderma spp.,kenaf,4.57,0.98,"Ganoderma spp., kenaf"
29,G,Ganoderma spp.,kenaf,4.57,1,"Ganoderma spp., kenaf"
30,G,Ganoderma spp.,kenaf,4.63,1.03,"Ganoderma spp., kenaf"
31,G,Ganoderma spp.,kenaf,4.95,1.02,"Ganoderma spp., kenaf"
32,G,Ganoderma spp.,kenaf,5.1,1.11,"Ganoderma spp., kenaf"
33,G,Ganoderma spp.,kenaf,5.92,1.29,"Ganoderma spp., kenaf"
34,G,Ganoderma spp.,kenaf,4.89,1.04,"Ganoderma spp., kenaf"
35,G,Ganoderma spp.,kenaf,5.33,1.21,"Ganoderma spp., kenaf"
36,G,Ganoderma spp.,kenaf,4.61,1.09,"Ganoderma spp., kenaf"
37,G,Ganoderma spp.,kenaf,6.25,1.12,"Ganoderma spp., kenaf"
38,G,Ganoderma spp.,kenaf,5.76,1.02,"Ganoderma spp., kenaf"
39,G,Ganoderma spp.,kenaf,5.37,1.06,"Ganoderma spp., kenaf"
40,G,Ganoderma spp.,kenaf,5.51,1.13,"Ganoderma spp., kenaf"
1,ERM,Ganoderma spp.,kenaf,3.1,0.9,"Ganoderma spp., kenaf"
2,ERM,Ganoderma spp.,kenaf,3.2,0.9,"Ganoderma spp., kenaf"
3,ERM,Ganoderma spp.,kenaf,3.6,1,"Ganoderma spp., kenaf"
4,ERM,Ganoderma spp.,kenaf,3.3,1,"Ganoderma spp., kenaf"
5,ERM,Ganoderma spp.,kenaf,4.4,1.2,"Ganoderma spp., kenaf"
6,ERM,Ganoderma spp.,kenaf,4.1,1.1,"Ganoderma spp., kenaf"
7,ERM,Ganoderma spp.,kenaf,3.8,1,"Ganoderma spp., kenaf"
8,ERM,Ganoderma spp.,kenaf,3.8,1,"Ganoderma spp., kenaf"
9,ERM,Ganoderma spp.,kenaf,4.8,1.3,"Ganoderma spp., kenaf"
10,ERM,Ganoderma spp.,kenaf,4.6,1.2,"Ganoderma spp., kenaf"
11,ERM,Ganoderma spp.,kenaf,4.7,1.3,"Ganoderma spp., kenaf"
12,ERM,Ganoderma spp.,kenaf,4.5,1.2,"Ganoderma spp., kenaf"
13,ERM,Ganoderma spp.,kenaf,4.3,1.2,"Ganoderma spp., kenaf"
14,ERM,Ganoderma spp.,kenaf,4.6,1.3,"Ganoderma spp., kenaf"
15,ERM,Ganoderma spp.,kenaf,4.6,1.2,"Ganoderma spp., kenaf"
16,ERM,Ganoderma spp.,kenaf,4.4,1.2,"Ganoderma spp., kenaf"
17,ERM,Ganoderma spp.,kenaf,4.9,1.3,"Ganoderma spp., kenaf"
18,ERM,Ganoderma spp.,kenaf,4.3,1.1,"Ganoderma spp., kenaf"
19,ERM,Ganoderma spp.,kenaf,4.6,1.1,"Ganoderma spp., kenaf"
20,ERM,Ganoderma spp.,kenaf,4.7,1.3,"Ganoderma spp., kenaf"
21,ERM,Ganoderma spp.,kenaf,4.4,1.1,"Ganoderma spp., kenaf"
22,ERM,Ganoderma spp.,kenaf,4.5,1.3,"Ganoderma spp., kenaf"
23,ERM,Ganoderma spp.,kenaf,4.6,1.2,"Ganoderma spp., kenaf"
24,ERM,Ganoderma spp.,kenaf,4.9,1.2,"Ganoderma spp., kenaf"
25,ERM,Ganoderma spp.,kenaf,4.5,1.2,"Ganoderma spp., kenaf"
26,ERM,Ganoderma spp.,kenaf,3.6,1,"Ganoderma spp., kenaf"
27,ERM,Ganoderma spp.,kenaf,3.6,1,"Ganoderma spp., kenaf"
28,ERM,Ganoderma spp.,kenaf,3.8,1.1,"Ganoderma spp., kenaf"
29,ERM,Ganoderma spp.,kenaf,3.9,1,"Ganoderma spp., kenaf"
30,ERM,Ganoderma spp.,kenaf,3.7,1,"Ganoderma spp., kenaf"
31,ERM,Ganoderma spp.,kenaf,4.4,1.1,"Ganoderma spp., kenaf"
32,ERM,Ganoderma spp.,kenaf,3.9,1.1,"Ganoderma spp., kenaf"
33,ERM,Ganoderma spp.,kenaf,4.9,1.3,"Ganoderma spp., kenaf"
34,ERM,Ganoderma spp.,kenaf,4.8,1.3,"Ganoderma spp., kenaf"
35,ERM,Ganoderma spp.,kenaf,3.6,0.9,"Ganoderma spp., kenaf"
36,ERM,Ganoderma spp.,kenaf,4.1,1.2,"Ganoderma spp., kenaf"
37,ERM,Ganoderma spp.,kenaf,3.9,0.9,"Ganoderma spp., kenaf"
38,ERM,Ganoderma spp.,kenaf,4.2,1.1,"Ganoderma spp., kenaf"
39,ERM,Ganoderma spp.,kenaf,3.9,1,"Ganoderma spp., kenaf"
40,ERM,Ganoderma spp.,kenaf,3.7,1,"Ganoderma spp., kenaf"
41,ERM,Ganoderma spp.,kenaf,3.8,1.1,"Ganoderma spp., kenaf"
42,ERM,Ganoderma spp.,kenaf,3.3,1,"Ganoderma spp., kenaf"
43,ERM,Ganoderma spp.,kenaf,3.1,0.9,"Ganoderma spp., kenaf"
44,ERM,Ganoderma spp.,kenaf,3.7,1,"Ganoderma spp., kenaf"
45,ERM,Ganoderma spp.,kenaf,4,1.1,"Ganoderma spp., kenaf"
46,ERM,Ganoderma spp.,kenaf,3.5,1,"Ganoderma spp., kenaf"
47,ERM,Ganoderma spp.,kenaf,3.4,1,"Ganoderma spp., kenaf"
48,ERM,Ganoderma spp.,kenaf,3.4,1,"Ganoderma spp., kenaf"
1,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.5,3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
2,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3.1,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
3,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
4,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.2,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
5,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6,2.7,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
6,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
7,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.8,3.7,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
8,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.3,3.4,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
9,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
10,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.5,3.5,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
11,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.9,3.5,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
12,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,8.2,4.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
13,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,4,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
14,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.3,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
15,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
16,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.9,3.6,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
17,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,8.5,4.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
18,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,4.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
19,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.4,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
20,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
21,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.7,3.5,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
22,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
23,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
24,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
25,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.6,3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
26,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
27,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
28,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.1,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
29,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6,2.7,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
30,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
31,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.4,3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
32,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.5,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
33,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.2,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
34,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
35,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.8,3.6,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
36,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.3,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
37,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.1,2.8,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
38,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.6,3.1,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
39,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.4,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
40,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.4,"Pleurotus ostreatus, hardwood pellets flax calcium sulfate"
1,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.8,2.5,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
2,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.6,3.1,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
3,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.2,2.8,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
4,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.9,2.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
5,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,2.6,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
6,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.1,2.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
7,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,7.1,3.2,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
8,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6,2.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
9,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.1,2.8,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
10,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,2.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
11,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,2.4,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
12,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,3.7,1.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
13,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.8,3,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
14,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.8,2.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
15,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,2.6,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
16,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,4.8,2.1,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
17,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,2.4,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
18,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,7.3,3.3,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
19,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,3.7,1.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
20,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,3.2,1.5,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
21,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,4.9,1.8,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
22,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.1,2.3,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
23,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.3,2.5,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
24,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.9,3.2,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
25,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6,2.8,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
1,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,5.5,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
2,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,5.4,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
3,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.2,6,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
4,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.2,6,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
5,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.7,5.6,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
6,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.6,6.5,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
7,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.6,6.5,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
8,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,5.4,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
9,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.1,4.9,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
10,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.1,5.9,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
11,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,4.8,4.7,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
12,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,5.4,"Pleurotus ostreatus, hardwood pellets wheat calcium sulfate"
1,P,Pleurotus ostreatus,wood lovrs,6.56,2.21,"Pleurotus ostreatus, wood lovrs"
2,P,Pleurotus ostreatus,wood lovrs,5.71,2.04,"Pleurotus ostreatus, wood lovrs"
3,P,Pleurotus ostreatus,wood lovrs,4.05,1.8,"Pleurotus ostreatus, wood lovrs"
4,P,Pleurotus ostreatus,wood lovrs,3.49,1.85,"Pleurotus ostreatus, wood lovrs"
5,P,Pleurotus ostreatus,wood lovrs,4.12,2.29,"Pleurotus ostreatus, wood lovrs"
6,P,Pleurotus ostreatus,wood lovrs,3.6,1.54,"Pleurotus ostreatus, wood lovrs"
7,P,Pleurotus ostreatus,wood lovrs,5.89,2.35,"Pleurotus ostreatus, wood lovrs"
8,P,Pleurotus ostreatus,wood lovrs,4.35,1.83,"Pleurotus ostreatus, wood lovrs"
9,P,Pleurotus ostreatus,wood lovrs,3.75,1.99,"Pleurotus ostreatus, wood lovrs"
10,P,Pleurotus ostreatus,wood lovrs,4.53,2.12,"Pleurotus ostreatus, wood lovrs"
11,P,Pleurotus ostreatus,wood lovrs,6.79,2.49,"Pleurotus ostreatus, wood lovrs"
12,P,Pleurotus ostreatus,wood lovrs,7,2.57,"Pleurotus ostreatus, wood lovrs"
13,P,Pleurotus ostreatus,wood lovrs,6.68,2.58,"Pleurotus ostreatus, wood lovrs"
14,P,Pleurotus ostreatus,wood lovrs,5.69,2.24,"Pleurotus ostreatus, wood lovrs"
15,P,Pleurotus ostreatus,wood lovrs,6.16,2.36,"Pleurotus ostreatus, wood lovrs"
16,P,Pleurotus ostreatus,wood lovrs,6.61,2.24,"Pleurotus ostreatus, wood lovrs"
17,P,Pleurotus ostreatus,wood lovrs,7.39,2.64,"Pleurotus ostreatus, wood lovrs"
18,P,Pleurotus ostreatus,wood lovrs,6.04,2.22,"Pleurotus ostreatus, wood lovrs"
19,P,Pleurotus ostreatus,wood lovrs,5.53,1.92,"Pleurotus ostreatus, wood lovrs"
20,P,Pleurotus ostreatus,wood lovrs,6.14,2.17,"Pleurotus ostreatus, wood lovrs"
21,P,Pleurotus ostreatus,wood lovrs,5.13,1.78,"Pleurotus ostreatus, wood lovrs"
22,P,Pleurotus ostreatus,wood lovrs,4.14,1.49,"Pleurotus ostreatus, wood lovrs"
23,P,Pleurotus ostreatus,wood lovrs,5.59,2.07,"Pleurotus ostreatus, wood lovrs"
24,P,Pleurotus ostreatus,wood lovrs,5.58,2,"Pleurotus ostreatus, wood lovrs"
25,P,Pleurotus ostreatus,wood lovrs,7.27,2.48,"Pleurotus ostreatus, wood lovrs"
26,P,Pleurotus ostreatus,wood lovrs,5.76,2.01,"Pleurotus ostreatus, wood lovrs"
27,P,Pleurotus ostreatus,wood lovrs,3.58,1.48,"Pleurotus ostreatus, wood lovrs"
28,P,Pleurotus ostreatus,wood lovrs,5.69,1.93,"Pleurotus ostreatus, wood lovrs"
29,P,Pleurotus ostreatus,wood lovrs,7.5,2.75,"Pleurotus ostreatus, wood lovrs"
30,P,Pleurotus ostreatus,wood lovrs,5.08,1.52,"Pleurotus ostreatus, wood lovrs"
31,P,Pleurotus ostreatus,wood lovrs,4.25,1.66,"Pleurotus ostreatus, wood lovrs"
32,P,Pleurotus ostreatus,wood lovrs,4.55,1.84,"Pleurotus ostreatus, wood lovrs"
33,P,Pleurotus ostreatus,wood lovrs,7.33,2.68,"Pleurotus ostreatus, wood lovrs"
34,P,Pleurotus ostreatus,wood lovrs,6,2.1,"Pleurotus ostreatus, wood lovrs"
35,P,Pleurotus ostreatus,wood lovrs,6.63,2.21,"Pleurotus ostreatus, wood lovrs"
36,P,Pleurotus ostreatus,wood lovrs,5.13,1.87,"Pleurotus ostreatus, wood lovrs"
37,P,Pleurotus ostreatus,wood lovrs,3.86,1.79,"Pleurotus ostreatus, wood lovrs"
38,P,Pleurotus ostreatus,wood lovrs,6.24,2.36,"Pleurotus ostreatus, wood lovrs"
39,P,Pleurotus ostreatus,wood lovrs,5.88,1.99,"Pleurotus ostreatus, wood lovrs"
40,P,Pleurotus ostreatus,wood lovrs,6.51,2.31,"Pleurotus ostreatus, wood lovrs"
