sample number,sample code,strain,substrate,wet weight,dry weight,strain substrate
29,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.6,3,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
30,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,7.4,3.3,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
31,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.5,2.9,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
32,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.6,2.9,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
33,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.8,3.1,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
34,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.2,2.8,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
35,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.9,3.1,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
36,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.8,3.1,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
37,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.4,2.9,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
38,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,7.3,3.3,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
39,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,4.5,2.1,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
40,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,3.3,1.5,"Ganoderma lucidum, hardwood pellets flax calcium sulfate"
1,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.8,1.9,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
2,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.1,2.4,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
3,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.3,2.1,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
4,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.3,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
5,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3,1.5,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
6,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.1,2.4,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
7,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.6,2.7,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
8,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.6,2.2,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
9,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.2,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
10,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.9,1.9,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
11,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.1,2,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
12,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.4,2.1,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
13,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.6,2.2,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
14,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.4,1.6,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
15,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.2,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
16,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.9,1.9,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
17,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.1,1.5,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
18,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.3,2.5,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
19,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.9,2.4,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
1,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.6,6.3,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
2,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.5,6.1,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
3,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.7,6.1,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
4,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.5,6.1,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
5,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.4,6.2,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
6,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.1,6,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
7,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6,5.5,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
8,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.8,6.6,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
9,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.1,6,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
10,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.2,6.1,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
11,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.2,5.9,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
12,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,7.1,6.7,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
13,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6,5.7,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
14,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.7,5.6,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
15,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.5,6,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
16,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,7.4,6.8,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
17,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.7,5.6,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
18,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6,5.7,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
19,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.2,5.8,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
20,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.3,5.9,"Ganoderma lucidum, hardwood pellets wheat calcium sulfate"
1,GL,Ganoderma lucidum,wood lovrs,5.66,2.14,"Ganoderma lucidum, wood lovrs"
2,GL,Ganoderma lucidum,wood lovrs,3.72,1.81,"Ganoderma lucidum, wood lovrs"
3,GL,Ganoderma lucidum,wood lovrs,3.42,1.74,"Ganoderma lucidum, wood lovrs"
4,GL,Ganoderma lucidum,wood lovrs,3.8,2.34,"Ganoderma lucidum, wood lovrs"
5,GL,Ganoderma lucidum,wood lovrs,4.6,1.76,"Ganoderma lucidum, wood lovrs"
6,GL,Ganoderma lucidum,wood lovrs,5.74,2.42,"Ganoderma lucidum, wood lovrs"
7,GL,Ganoderma lucidum,wood lovrs,11.45,2.74,"Ganoderma lucidum, wood lovrs"
8,GL,Ganoderma lucidum,wood lovrs,4.81,2.3,"Ganoderma lucidum, wood lovrs"
9,GL,Ganoderma lucidum,wood lovrs,8.95,2.4,"Ganoderma lucidum, wood lovrs"
10,GL,Ganoderma lucidum,wood lovrs,3.35,1.92,"Ganoderma lucidum, wood lovrs"
11,GL,Ganoderma lucidum,wood lovrs,12.55,2.54,"Ganoderma lucidum, wood lovrs"
12,GL,Ganoderma lucidum,wood lovrs,4.41,2.15,"Ganoderma lucidum, wood lovrs"
13,GL,Ganoderma lucidum,wood lovrs,7.34,2.19,"Ganoderma lucidum, wood lovrs"
14,GL,Ganoderma lucidum,wood lovrs,4.42,1.89,"Ganoderma lucidum, wood lovrs"
15,GL,Ganoderma lucidum,wood lovrs,8.45,2.05,"Ganoderma lucidum, wood lovrs"
16,GL,Ganoderma lucidum,wood lovrs,5.51,2.66,"Ganoderma lucidum, wood lovrs"
17,GL,Ganoderma lucidum,wood lovrs,3.87,1.73,"Ganoderma lucidum, wood lovrs"
18,GL,Ganoderma lucidum,wood lovrs,4.59,2.45,"Ganoderma lucidum, wood lovrs"
19,GL,Ganoderma lucidum,wood lovrs,3.77,1.9,"Ganoderma lucidum, wood lovrs"
20,GL,Ganoderma lucidum,wood lovrs,3.66,1.8,"Ganoderma lucidum, wood lovrs"
21,GL,Ganoderma lucidum,wood lovrs,7.07,1.92,"Ganoderma lucidum, wood lovrs"
22,GL,Ganoderma lucidum,wood lovrs,7.55,2.09,"Ganoderma lucidum, wood lovrs"
23,GL,Ganoderma lucidum,wood lovrs,6.52,2.31,"Ganoderma lucidum, wood lovrs"
24,GL,Ganoderma lucidum,wood lovrs,4.69,2.31,"Ganoderma lucidum, wood lovrs"
25,GL,Ganoderma lucidum,wood lovrs,4.01,1.93,"Ganoderma lucidum, wood lovrs"
26,GL,Ganoderma lucidum,wood lovrs,5.23,2.02,"Ganoderma lucidum, wood lovrs"
27,GL,Ganoderma lucidum,wood lovrs,4.69,1.89,"Ganoderma lucidum, wood lovrs"
28,GL,Ganoderma lucidum,wood lovrs,7.15,2.19,"Ganoderma lucidum, wood lovrs"
